78041; Isis Lima; 197.792.518-98; 9.946.161-5; 30; 94318-777; Bairro da Penha; V; 29/07/1995; 344; F; Advogada; Casa; Praia do Canto; ES; Vitória; (27) 32463593; (27) 928913255; isis.lima600@email.com; 12/10/2024
85488; Júlia Pereira; 279.162.494-56; 7.178.205-4; 1; 30814-487; Bairro da Penha; D; 15/04/2000; 53; F; Engenheira; Casa; Jardim da Penha; ES; Vitória; (27) 34996443; (27) 919778945; júlia.pereira669@email.com; 09/05/2024
1317; Manuela Castro; 820.604.234-22; 6.671.484-3; 29; 66876-137; Bento Ferreira; C; 11/10/1983; 1107; F; Programadora; Casa; Jardim da Penha; ES; Vitória; (27) 33688174; (27) 992987045; manuela.castro310@email.com; 26/04/2022
96849; Laura Castro; 219.855.087-37; 2.042.780-4; 24; 59303-972; Bairro da Penha; V; 31/01/1989; 859; F; Advogada; Apartamento; Jardim da Penha; ES; Vitória; (27) 33392230; (27) 991037521; laura.castro945@mail.com; 24/03/2021
43999; Alice Lima; 553.471.340-20; 6.195.451-3; 17; 36293-525; Avenida Rio Branco; S; 20/04/1985; 140; F; Professora; Casa; Praia do Canto; ES; Vitória; (27) 38872466; (27) 919991699; alice.lima986@email.com; 12/08/2023
20526; Isis Pereira; 922.448.449-27; 6.307.890-6; 33; 70291-246; Avenida Rio Branco; S; 21/04/1974; 497; F; Engenheira; Casa; Jardim da Penha; ES; Vitória; (27) 38147540; (27) 912746415; isis.pereira372@example.com; 22/03/2021
84590; Luísa Lopes; 469.694.867-61; 7.879.961-1; 42; 54837-397; Bairro da Penha; D; 10/01/1975; 653; F; Advogada; Casa; Jardim da Penha; ES; Vitória; (27) 35063859; (27) 924206757; luísa.lopes70@webmail.com; 03/02/2021
74781; Manuela Lima; 070.915.144-67; 2.446.221-8; 19; 48448-496; Bento Ferreira; D; 25/11/2003; 958; F; Engenheira; Casa; Praia do Canto; ES; Vitória; (27) 31023111; (27) 958199462; manuela.lima65@mail.com; 19/11/2021
18699; Leticia Pera; 617.567.554-18; 0.891.219-0; 6; 26884-382; Santa Lúcia; V; 22/05/2004; 333; F; Médica; Apartamento; Praia do Canto; ES; Vitória; (27) 39487583; (27) 971613747; leticia.pera877@webmail.com; 03/05/2023
1568; Eloá Bianchi; 877.670.421-11; 0.887.172-1; 8; 79687-203; Avenida Rio Branco; S; 17/04/1985; 349; F; Professora; Casa; Praia do Canto; ES; Vitória; (27) 33675783; (27) 998458759; eloá.bianchi612@example.com; 05/06/2020
84372; Maria Azeredo; 835.559.708-79; 5.822.127-1; 10; 20391-344; Avenida Rio Branco; C; 07/06/1984; 1146; F; Médica; Casa; Jardim da Penha; ES; Vitória; (27) 32664327; (27) 946367008; maria.azeredo743@example.com; 16/04/2023
20989; Helena Soares; 537.176.374-01; 1.352.057-2; 5; 35036-659; Bento Ferreira; V; 21/02/1979; 1116; F; Engenheira; Apartamento; Praia do Canto; ES; Vitória; (27) 39183145; (27) 969990329; helena.soares602@mail.com; 29/05/2024
85945; Ayla Pimentel; 008.509.962-79; 9.791.099-3; 39; 58492-810; Avenida Rio Branco; C; 10/11/1989; 752; F; Programadora; Apartamento; Praia do Canto; ES; Vitória; (27) 35772332; (27) 960035070; ayla.pimentel549@example.com; 11/12/2020
68541; Alice Soares; 694.933.743-43; 3.403.456-3; 23; 20807-704; Avenida Rio Branco; D; 15/09/1983; 57; F; Programadora; Apartamento; Praia do Canto; ES; Vitória; (27) 33420734; (27) 913730370; alice.soares684@webmail.com; 10/04/2023
28004; Maria Assis; 795.973.407-04; 6.370.755-6; 36; 43013-592; Avenida Rio Branco; V; 11/05/2003; 1158; F; Programadora; Apartamento; Jardim da Penha; ES; Vitória; (27) 34693762; (27) 941909928; maria.assis332@email.com; 11/04/2020
79882; Isis Schneider; 986.687.410-98; 2.920.462-6; 2; 59721-709; Santa Lúcia; S; 03/01/2005; 494; F; Engenheira; Casa; Jardim da Penha; ES; Vitória; (27) 32383286; (27) 961479251; isis.schneider26@webmail.com; 18/05/2024
95355; Ayla Bianchi; 038.320.986-23; 2.761.651-0; 47; 88348-835; Santa Lúcia; S; 18/09/2005; 788; F; Advogada; Casa; Praia do Canto; ES; Vitória; (27) 39113099; (27) 928223649; ayla.bianchi417@email.com; 07/11/2021
5894; Laura Sampaio; 539.409.535-39; 5.247.966-6; 41; 42009-906; Avenida Rio Branco; S; 22/04/1976; 756; F; Advogada; Apartamento; Jardim da Penha; ES; Vitória; (27) 34782414; (27) 959956118; laura.sampaio381@webmail.com; 05/10/2024
62445; Alice Herzog; 702.366.963-94; 8.808.346-1; 35; 24576-400; Avenida Rio Branco; S; 10/11/1977; 362; F; Médica; Casa; Jardim da Penha; ES; Vitória; (27) 33401503; (27) 974450518; alice.herzog198@example.com; 16/12/2023
39592; Ayla Schneider; 650.848.362-58; 4.152.583-2; 45; 71347-454; Bento Ferreira; V; 02/07/1974; 232; F; Programadora; Casa; Praia do Canto; ES; Vitória; (27) 36690357; (27) 917379844; ayla.schneider97@webmail.com; 05/10/2022
67326; Laura Lima; 123.615.636-65; 6.637.387-6; 49; 17876-864; Avenida Rio Branco; S; 09/09/1981; 642; F; Advogada; Casa; Jardim da Penha; ES; Vitória; (27) 35392673; (27) 914828562; laura.lima431@mail.com; 13/12/2022
46673; Isabela Pera; 512.481.273-74; 0.587.989-6; 22; 12744-979; Bairro da Penha; D; 03/02/1970; 413; F; Médica; Casa; Praia do Canto; ES; Vitória; (27) 36079270; (27) 936028336; isabela.pera248@email.com; 26/01/2022
74113; Ayla Soares; 489.539.214-73; 1.789.052-6; 43; 59161-236; Bairro da Penha; D; 17/03/1981; 906; F; Engenheira; Casa; Jardim da Penha; ES; Vitória; (27) 33821095; (27) 920198894; ayla.soares705@email.com; 11/06/2021
74878; Valentina Azeredo; 360.771.259-03; 4.306.654-4; 43; 94294-189; Bento Ferreira; S; 24/02/1972; 501; F; Médica; Apartamento; Jardim da Penha; ES; Vitória; (27) 39885897; (27) 924095792; valentina.azeredo178@mail.com; 23/12/2022
59583; Leticia Machado; 199.795.075-86; 8.974.278-1; 6; 44834-432; Avenida Rio Branco; S; 08/02/1986; 1067; F; Advogada; Apartamento; Praia do Canto; ES; Vitória; (27) 31142115; (27) 992518711; leticia.machado259@webmail.com; 22/12/2022
